Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Composition.AttributedModel 9.0.0,,,,,"System.Composition.AttributedModel, 9.0.0  Recommendation:  Remove System.Composition.AttributedModel, and replace with new package System.Composition.AttributedModel 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Composition.Convention 9.0.0,,,,,"System.Composition.Convention, 9.0.0  Recommendation:  Remove System.Composition.Convention, and replace with new package System.Composition.Convention 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Composition.Hosting 9.0.0,,,,,"System.Composition.Hosting, 9.0.0  Recommendation:  Remove System.Composition.Hosting, and replace with new package System.Composition.Hosting 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Composition.Runtime 9.0.0,,,,,"System.Composition.Runtime, 9.0.0  Recommendation:  Remove System.Composition.Runtime, and replace with new package System.Composition.Runtime 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Composition.TypedParts 9.0.0,,,,,"System.Composition.TypedParts, 9.0.0  Recommendation:  Remove System.Composition.TypedParts, and replace with new package System.Composition.TypedParts 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Configuration.ConfigurationManager 9.0.3,,,,,"System.Configuration.ConfigurationManager, 9.0.3  Recommendation:  Remove System.Configuration.ConfigurationManager, and replace with new package System.Configuration.ConfigurationManager 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Console 4.3.1,,,,,"System.Console, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Data.SQLite.Linq 1.0.119.0,,,,,"System.Data.SQLite.Linq, 1.0.119.0  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Diagnostics.DiagnosticSource 9.0.3,,,,,"System.Diagnostics.DiagnosticSource, 9.0.3  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Diagnostics.FileVersionInfo 4.3.0,,,,,"System.Diagnostics.FileVersionInfo, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Diagnostics.StackTrace 4.3.0,,,,,"System.Diagnostics.StackTrace, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Drawing.Common 9.0.3,,,,,"System.Drawing.Common, 9.0.3  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.Formats.Asn1 9.0.3,,,,,"System.Formats.Asn1, 9.0.3  Recommendation:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.IO 4.3.0,,,,,"System.IO, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.IO.Compression 4.3.0,,,,,"System.IO.Compression, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.IO.FileSystem 4.3.0,,,,,"System.IO.FileSystem, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,qbook\qbook.csproj,File,qbook\qbook.csproj,,,System.IO.FileSystem.Primitives 4.3.0,,,,,"System.IO.FileSystem.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
